Summary,Issue key,Issue Type,Project key,Project name,Project lead,Priority,Description
Selecting flight → Passenger Details → Payment — system accepts script injection in the cardholder name field,AT-30,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a script tag (e.g., <script>alert('test')</script>) in the Cardholder Name field.
# Enter valid Card Number and Expiry Date.
# Click Pay Now.

*Expected Results:*
The system should sanitize inputs and display an error message preventing any script or code injection.

*Actual Results:*
The system accepts the script tag in the Cardholder Name field without displaying any validation error, though no script execution occurred."
Selecting flight → Passenger Details → Payment — system accepts submission without entering card number or expiry date,AT-29,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Leave both Card Number and Expiry Date fields empty.
# Click Pay Now.

*Expected Results:*
The system should display an error message and prevent payment when the Card Number or Expiry Date fields are empty.

*Actual Results:*
The system accepts submission without validating that the Card Number and Expiry Date fields are empty."
Selecting flight → Passenger Details → Payment — system accepts card number longer than 16 digits,AT-28,Bug,AT,Agile Travel,karim yassa,High,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a valid Cardholder Name and an invalid Card Number with more than 16 digits.
# Enter a valid Expiry Date.
# Click Pay Now.

*Expected Results:*
The system should validate the Card Number length and display an error message for inputs longer than 16 digits.

*Actual Results:*
The system accepts card numbers longer than 16 digits and proceeds without any validation error."
Selecting flight → Passenger Details → Payment — system accepts card number shorter than 16 digits,AT-27,Bug,AT,Agile Travel,karim yassa,High,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a valid Cardholder Name and an invalid Card Number with fewer than 16 digits.
# Enter a valid Expiry Date.
# Click Pay Now.

*Expected Results:*
The system should validate the Card Number length and display an error message for inputs shorter than 16 digits.

*Actual Results:*
The system accepts card numbers shorter than 16 digits and proceeds without any validation error."
Selecting flight → Passenger Details → Payment — system accepts payment with expired card date,AT-26,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a valid Cardholder Name and Card Number.
# Select an Expiry Date in the past.
# Click Pay Now.

*Expected Results:*
The system should display an error message and prevent payment when the card expiry date is in the past.

*Actual Results:*
The system accepts payment with an expired card date without displaying any validation error."
Selecting flight → Passenger Details → Payment — system accepts payment when all fields are filled but no card type is selected,AT-25,Bug,AT,Agile Travel,karim yassa,Medium,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Enter valid Cardholder Name, Card Number, and Expiry Date, but do not select a Card Type.
# Click Pay Now.

*Expected Results:*
The system should display an error message and prevent payment when the Card Type is not selected.

*Actual Results:*
The system accepts payment without validating the missing Card Type selection."
Selecting flight → Passenger Details → Payment — system accepts payment with all fields empty,AT-24,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Leave all fields (Card Type, Cardholder Name, Card Number, Expiry Date) empty.
# Click Pay Now.
# 
*Expected Results:*
The system should display an error message and prevent payment when all fields are empty.

*Actual Results:*
The system proceeds without validation and accepts submission even when all fields are empty."
Selecting flight → Passenger Details → Payment — system accepts special characters in the cardholder name field,AT-23,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a Cardholder Name containing special characters (e.g., John@Doe!).
# Enter a valid Card Number and Expiry Date.
# Click Pay Now.

*Expected Results:*
The system should display an error message and prevent submission when the Cardholder Name field contains special characters such as @, #, $, %, !.

*Actual Results:*
The system accepts special characters in the Cardholder Name field and proceeds without displaying any validation error."
Selecting flight → Passenger Details → Payment — system accepts numeric characters in the cardholder name field,AT-22,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a Cardholder Name containing numeric characters (e.g., John123).
# Enter a valid Card Number and Expiry Date.
# Click Pay Now.

*Expected Results:*
The system should display an error message and prevent submission when the Cardholder Name field contains numbers.

*Actual Results:*
The system accepts numeric characters in the Cardholder Name field and proceeds without displaying any validation error."
Selecting flight -> Passenger Details -> Payment -> system accepts Special characters in the card number field,AT-21,Bug,AT,Agile Travel,karim yassa,Highest,"*Steps to Reproduce:*
# Login to the application.
# Select Return as the trip type.
# Choose valid origin, destination, and flight details.
# Proceed through the Passenger Details page and continue to the Payment section.
# Select a Card Type (e.g., Visa or MasterCard).
# Enter a Card Number containing Special characters (e.g., 1234@#%^5678).
# Enter valid details for the Cardholder Name and Expiry Date.
# Click Pay Now.

*Expected Results:*
The system should display an error message and prevent submission when the Card Number field contains Special characters.

*Actual Results:*
The system accepts Special characters in the Card Number field and proceeds without displaying any validation error."
